,snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
182,Atheris ceratophora,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
183,Atheris chloroechis,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
184,Atheris desaixi,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
185,Montatheris hindii,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
186,Atheris hispida,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
187,Atheris katangensis,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
188,Atheris nitschei,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
189,Atheris squamigera,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
190,Proatheris superciliaris,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
191,Bitis arietans,"130 to 200 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Possibly present,Not present,Present but not defined,Not present,Present but not defined,Possibly present,Not present,,Possibly present,,1
192,Bitis atropos,,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present,,Possibly present but not clinically significant,,Not
193,Bitis caudalis,,,,,Systemic myotoxins present,,,Presynaptic neurotoxins,,,,Not
194,Bitis cornuta,,,,,,,,,,,,Not
195,Bitis gabonica,"350 - 600 mg ( dried venom ), Phelps (1981) ( Ref : R000491 ).",Possibly present,Present but not defined,Zinc metalloproteinase,Not present,Possibly present,Not present,Not present,,Fibrinogenases,,1
196,Bitis heraldica,,,,,,,,,,,,Not
197,Bitis inornata,,,,,,,,,,,,Not
198,Bitis nasicornis,,,,Probably present,,,,,,,,Not
199,Bitis parviocula,,,,,,,,,,,,Not
200,Bitis peringueyi,,,,,,,,,,,,Not
201,Bitis schneideri,,,,,,,,,,,,Not
202,Bitis worthingtoni,,,,,,,,,,,,Not
203,Bitis xeropaga,,,,,,,,,,,,Not
204,Causus defilippii,,,,,,,,,,,,Not
205,Causus lichtensteini,,,,,,,,,,,,Not
206,Causus maculatus,,,,,,,,,,,,Not
207,Causus resimus,,,,,,,,,,,,Not
208,Cerastes cerastes,"40 to 70 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,1
209,Cerastes vipera,,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
210,Echis coloratus,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
211,Echis leucogaster,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
212,Echis ocellatus,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
213,Echis pyramidum,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
214,Montivipera bornmuelleri,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
215,Vipera latastei,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
216,Daboia palaestinae,"90 to 140 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",Probably not present,Probably not present,Present,Present,Probably not present,Probably not present,Possibly present but not commonly clinically significant,,Present,,1
217,Elapsoidea boulengeri,,,,,,,,,,,,Not
218,Naja anchietae,,Probably not present,,Probably not present,Probably not present,,Probably not present,,Not present or not significant,Probably not present,,Not
219,Naja annulifera,,Probably not present,,Probably not present,Probably not present,,Probably not present,,Not present or not significant,Probably not present,,Not
220,Naja arabica,,Probably not present,Possibly present,Probably not present,Possibly present but not clinically significant,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
221,Naja nigricincta,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
222,Bitis albanica,,,,,,,,,,,,Not
223,Bitis rhinoceros,,Possibly present (based on research on related species),Present but not defined (based on research on related species),Zinc metalloproteinase (based on research on related species),Not present (based on research on related species),Possibly present (based on research on related species),Not present (based on research on related species),Not present (based on research on related species),,Fibrinogenases (based on research on related species),,Not
224,Echis hughesi,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
225,Echis jogeri,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
226,Echis khosatskii,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
227,Echis megalocephalus,,Possibly present,Probably not present,Zinc metalloproteinase,Not present,Possibly present,Possibly present,Not present,,Mixture of procoagulants,,Not
228,Vipera aspis,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
229,Vipera ammodytes,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Presynaptic neurotoxins,,Probably present,,Not
230,Montivipera albizona,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
231,Vipera barani,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
232,Montivipera bulgardaghica,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
233,Vipera darevskii,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
234,Vipera dinniki,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
235,Vipera eriwanensis,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
236,Vipera kaznakovi,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
237,Vipera lotievi,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
238,Vipera monticola,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
239,Macrovipera mauritanica,,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,,Not
240,Macrovipera schweizeri,,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,,Not
241,Vipera pontica,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
242,Gloydius tsushimaensis,,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,,Not
243,Vipera ursinii,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
244,Vipera seoanei,,Probably not present,Probably not present,Probably present,Probably not present,Probably not present,Probably not present,Possibly present but not clinically significant,,Probably present,,Not
245,Causus bilineatus,,,,,,,,,,,,Not
246,Causus rhombeatus,"20 to 30 mg ( dry weight ), Minton (1974) ( Ref : R000504 ).",,,,,,,,,Antithrombin III inactivating toxin,,1
247,Macrovipera deserti,,Probably not present,Probably not present,Probably present,"Probably present, but not confirmed.",Possibly present,Probably not present,Probably not present,Not present or not significant,Fibrinogenases,,Not
248,Bitis rubida,,,,,,,,,,,,Not
249,Bungarus andamanensis,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
250,Elapsoidea broadleyi,,,,,,,,,,,,Not
251,Trimeresurus karanshahi,,,Probably not present,,,,,Probably not present,,,,Not
252,Micruroides euryxanthus,,Probably not present,Probably not present,Probably not present,Systemic myotoxins probably present,Probably not present,Probably not present,Postsynaptic neurotoxins probably present,,Probably not present,,Not
253,Micrurus alleni,"3 mg ( dry weight ), Roze (1996) ( Ref : R000985 ).",Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,1
254,Micrurus ancoralis,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
255,Micrurus annellatus,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
256,Micrurus averyi,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
257,Micrurus bernadi,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
258,Micrurus bocourti,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
